timestep,plant,availability
t0072,SE1_wind,0.8545
t0073,SE1_wind,0.8378
t0074,SE1_wind,0.8395
t0075,SE1_wind,0.8374
t0076,SE1_wind,0.8269
t0077,SE1_wind,0.8146
t0078,SE1_wind,0.7995
t0079,SE1_wind,0.8063
t0080,SE1_wind,0.7553
t0081,SE1_wind,0.7549
t0082,SE1_wind,0.7649
t0083,SE1_wind,0.7621
t0084,SE1_wind,0.7183
t0085,SE1_wind,0.6695
t0086,SE1_wind,0.6439
t0087,SE1_wind,0.6073
t0088,SE1_wind,0.587
t0089,SE1_wind,0.638
t0090,SE1_wind,0.6472
t0091,SE1_wind,0.6644
t0092,SE1_wind,0.6723
t0093,SE1_wind,0.6626
t0094,SE1_wind,0.6093
t0095,SE1_wind,0.5818
t0096,SE1_wind,0.5519
t0097,SE1_wind,0.5233
t0098,SE1_wind,0.4935
t0099,SE1_wind,0.4745
t0100,SE1_wind,0.4729
t0101,SE1_wind,0.4972
t0102,SE1_wind,0.434
t0103,SE1_wind,0.384
t0104,SE1_wind,0.3816
t0105,SE1_wind,0.389
t0106,SE1_wind,0.3993
t0107,SE1_wind,0.4402
t0108,SE1_wind,0.4816
t0109,SE1_wind,0.5026
t0110,SE1_wind,0.5104
t0111,SE1_wind,0.532
t0112,SE1_wind,0.5767
t0113,SE1_wind,0.6301
t0114,SE1_wind,0.6316
t0115,SE1_wind,0.659
t0116,SE1_wind,0.662
t0117,SE1_wind,0.6537
t0118,SE1_wind,0.6666
t0119,SE1_wind,0.6757
t0120,SE1_wind,0.6787
t0121,SE1_wind,0.659
t0122,SE1_wind,0.6547
t0123,SE1_wind,0.6906
t0124,SE1_wind,0.7072
t0125,SE1_wind,0.6829
t0126,SE1_wind,0.6688
t0127,SE1_wind,0.6367
t0128,SE1_wind,0.5808
t0129,SE1_wind,0.5771
t0130,SE1_wind,0.5645
t0131,SE1_wind,0.5004
t0132,SE1_wind,0.4953
t0133,SE1_wind,0.4594
t0134,SE1_wind,0.4257
t0135,SE1_wind,0.4423
t0136,SE1_wind,0.4272
t0137,SE1_wind,0.4106
t0138,SE1_wind,0.3834
t0139,SE1_wind,0.3728
t0140,SE1_wind,0.3904
t0141,SE1_wind,0.3955
t0142,SE1_wind,0.4021
t0143,SE1_wind,0.4192
t0144,SE1_wind,0.4099
t0145,SE1_wind,0.4019
t0146,SE1_wind,0.3715
t0147,SE1_wind,0.3465
t0148,SE1_wind,0.341
t0149,SE1_wind,0.3462
t0150,SE1_wind,0.3692
t0151,SE1_wind,0.3527
t0152,SE1_wind,0.3578
t0153,SE1_wind,0.3962
t0154,SE1_wind,0.4389
t0155,SE1_wind,0.476
t0156,SE1_wind,0.507
t0157,SE1_wind,0.5264
t0158,SE1_wind,0.5666
t0159,SE1_wind,0.6105
t0160,SE1_wind,0.6805
t0161,SE1_wind,0.6911
t0162,SE1_wind,0.6408
t0163,SE1_wind,0.7903
t0164,SE1_wind,0.7667
t0165,SE1_wind,0.7523
t0166,SE1_wind,0.6677
t0167,SE1_wind,0.6395
t0168,SE1_wind,0.5946
t0001,SE1_chp_district,0.8
t0002,SE1_chp_district,0.8
t0003,SE1_chp_district,0.8
t0004,SE1_chp_district,0.8
t0005,SE1_chp_district,0.8
t0006,SE1_chp_district,0.8
t0007,SE1_chp_district,0.8
t0008,SE1_chp_district,0.8
t0009,SE1_chp_district,0.8
t0010,SE1_chp_district,0.8
t0011,SE1_chp_district,0.8
t0012,SE1_chp_district,0.8
t0013,SE1_chp_district,0.8
t0014,SE1_chp_district,0.8
t0015,SE1_chp_district,0.8
t0016,SE1_chp_district,0.8
t0017,SE1_chp_district,0.8
t0018,SE1_chp_district,0.8
t0019,SE1_chp_district,0.8
t0020,SE1_chp_district,0.8
t0021,SE1_chp_district,0.8
t0022,SE1_chp_district,0.8
t0023,SE1_chp_district,0.8
t0024,SE1_chp_district,0.8
t0025,SE1_chp_district,0.8
t0026,SE1_chp_district,0.8
t0027,SE1_chp_district,0.8
t0028,SE1_chp_district,0.8
t0029,SE1_chp_district,0.8
t0030,SE1_chp_district,0.8
t0031,SE1_chp_district,0.8
t0032,SE1_chp_district,0.8
t0033,SE1_chp_district,0.8
t0034,SE1_chp_district,0.8
t0035,SE1_chp_district,0.8
t0036,SE1_chp_district,0.8
t0037,SE1_chp_district,0.8
t0038,SE1_chp_district,0.8
t0039,SE1_chp_district,0.8
t0040,SE1_chp_district,0.8
t0041,SE1_chp_district,0.8
t0042,SE1_chp_district,0.8
t0043,SE1_chp_district,0.8
t0044,SE1_chp_district,0.8
t0045,SE1_chp_district,0.8
t0046,SE1_chp_district,0.8
t0047,SE1_chp_district,0.8
t0048,SE1_chp_district,0.8
t0049,SE1_chp_district,0.8
t0050,SE1_chp_district,0.8
t0051,SE1_chp_district,0.8
t0052,SE1_chp_district,0.8
t0053,SE1_chp_district,0.8
t0054,SE1_chp_district,0.8
t0055,SE1_chp_district,0.8
t0056,SE1_chp_district,0.8
t0057,SE1_chp_district,0.8
t0058,SE1_chp_district,0.8
t0059,SE1_chp_district,0.8
t0060,SE1_chp_district,0.8
t0061,SE1_chp_district,0.8
t0062,SE1_chp_district,0.8
t0063,SE1_chp_district,0.8
t0064,SE1_chp_district,0.8
t0065,SE1_chp_district,0.8
t0066,SE1_chp_district,0.8
t0067,SE1_chp_district,0.8
t0068,SE1_chp_district,0.8
t0069,SE1_chp_district,0.8
t0070,SE1_chp_district,0.8
t0071,SE1_chp_district,0.8
t0072,SE1_chp_district,0.8
t0073,SE1_chp_district,0.8
t0074,SE1_chp_district,0.8
t0075,SE1_chp_district,0.8
t0076,SE1_chp_district,0.8
t0077,SE1_chp_district,0.8
t0078,SE1_chp_district,0.8
t0079,SE1_chp_district,0.8
t0080,SE1_chp_district,0.8
t0081,SE1_chp_district,0.8
t0082,SE1_chp_district,0.8
t0083,SE1_chp_district,0.8
t0084,SE1_chp_district,0.8
t0085,SE1_chp_district,0.8
t0086,SE1_chp_district,0.8
t0087,SE1_chp_district,0.8
t0088,SE1_chp_district,0.8
t0089,SE1_chp_district,0.8
t0090,SE1_chp_district,0.8
t0091,SE1_chp_district,0.8
t0092,SE1_chp_district,0.8
t0093,SE1_chp_district,0.8
t0094,SE1_chp_district,0.8
t0095,SE1_chp_district,0.8
t0096,SE1_chp_district,0.8
t0097,SE1_chp_district,0.8
t0098,SE1_chp_district,0.8
t0099,SE1_chp_district,0.8
t0100,SE1_chp_district,0.8
t0101,SE1_chp_district,0.8
t0102,SE1_chp_district,0.8
t0103,SE1_chp_district,0.8
t0104,SE1_chp_district,0.8
t0105,SE1_chp_district,0.8
t0106,SE1_chp_district,0.8
t0107,SE1_chp_district,0.8
t0108,SE1_chp_district,0.8
t0109,SE1_chp_district,0.8
t0110,SE1_chp_district,0.8
t0111,SE1_chp_district,0.8
t0112,SE1_chp_district,0.8
t0113,SE1_chp_district,0.8
t0114,SE1_chp_district,0.8
t0115,SE1_chp_district,0.8
t0116,SE1_chp_district,0.8
t0117,SE1_chp_district,0.8
t0118,SE1_chp_district,0.8
t0119,SE1_chp_district,0.8
t0120,SE1_chp_district,0.8
t0121,SE1_chp_district,0.8
t0122,SE1_chp_district,0.8
t0123,SE1_chp_district,0.8
t0124,SE1_chp_district,0.8
t0125,SE1_chp_district,0.8
t0126,SE1_chp_district,0.8
t0127,SE1_chp_district,0.8
t0128,SE1_chp_district,0.8
t0129,SE1_chp_district,0.8
t0130,SE1_chp_district,0.8
t0131,SE1_chp_district,0.8
t0132,SE1_chp_district,0.8
t0133,SE1_chp_district,0.8
t0134,SE1_chp_district,0.8
t0135,SE1_chp_district,0.8
t0136,SE1_chp_district,0.8
t0137,SE1_chp_district,0.8
t0138,SE1_chp_district,0.8
t0139,SE1_chp_district,0.8
t0140,SE1_chp_district,0.8
t0141,SE1_chp_district,0.8
t0142,SE1_chp_district,0.8
t0143,SE1_chp_district,0.8
t0144,SE1_chp_district,0.8
t0145,SE1_chp_district,0.8
t0146,SE1_chp_district,0.8
t0147,SE1_chp_district,0.8
t0148,SE1_chp_district,0.8
t0149,SE1_chp_district,0.8
t0150,SE1_chp_district,0.8
t0151,SE1_chp_district,0.8
t0152,SE1_chp_district,0.8
t0153,SE1_chp_district,0.8
t0154,SE1_chp_district,0.8
t0155,SE1_chp_district,0.8
t0156,SE1_chp_district,0.8
t0157,SE1_chp_district,0.8
t0158,SE1_chp_district,0.8
t0159,SE1_chp_district,0.8
t0160,SE1_chp_district,0.8
t0161,SE1_chp_district,0.8
t0162,SE1_chp_district,0.8
t0163,SE1_chp_district,0.8
t0164,SE1_chp_district,0.8
t0165,SE1_chp_district,0.8
t0166,SE1_chp_district,0.8
t0167,SE1_chp_district,0.8
t0168,SE1_chp_district,0.8
t0001,SE1_chp_industry,0.8
t0002,SE1_chp_industry,0.8
t0003,SE1_chp_industry,0.8
t0004,SE1_chp_industry,0.8
t0005,SE1_chp_industry,0.8
t0006,SE1_chp_industry,0.8
t0007,SE1_chp_industry,0.8
t0008,SE1_chp_industry,0.8
t0009,SE1_chp_industry,0.8
t0010,SE1_chp_industry,0.8
t0011,SE1_chp_industry,0.8
t0012,SE1_chp_industry,0.8
t0013,SE1_chp_industry,0.8
t0014,SE1_chp_industry,0.8
t0015,SE1_chp_industry,0.8
t0016,SE1_chp_industry,0.8
t0017,SE1_chp_industry,0.8
t0018,SE1_chp_industry,0.8
t0019,SE1_chp_industry,0.8
t0020,SE1_chp_industry,0.8
t0021,SE1_chp_industry,0.8
t0022,SE1_chp_industry,0.8
t0023,SE1_chp_industry,0.8
t0024,SE1_chp_industry,0.8
t0025,SE1_chp_industry,0.8
t0026,SE1_chp_industry,0.8
t0027,SE1_chp_industry,0.8
t0028,SE1_chp_industry,0.8
t0029,SE1_chp_industry,0.8
t0030,SE1_chp_industry,0.8
t0031,SE1_chp_industry,0.8
t0032,SE1_chp_industry,0.8
t0033,SE1_chp_industry,0.8
t0034,SE1_chp_industry,0.8
t0035,SE1_chp_industry,0.8
t0036,SE1_chp_industry,0.8
t0037,SE1_chp_industry,0.8
t0038,SE1_chp_industry,0.8
t0039,SE1_chp_industry,0.8
t0040,SE1_chp_industry,0.8
t0041,SE1_chp_industry,0.8
t0042,SE1_chp_industry,0.8
t0043,SE1_chp_industry,0.8
t0044,SE1_chp_industry,0.8
t0045,SE1_chp_industry,0.8
t0046,SE1_chp_industry,0.8
t0047,SE1_chp_industry,0.8
t0048,SE1_chp_industry,0.8
t0049,SE1_chp_industry,0.8
t0050,SE1_chp_industry,0.8
t0051,SE1_chp_industry,0.8
t0052,SE1_chp_industry,0.8
t0053,SE1_chp_industry,0.8
t0054,SE1_chp_industry,0.8
t0055,SE1_chp_industry,0.8
t0056,SE1_chp_industry,0.8
t0057,SE1_chp_industry,0.8
t0058,SE1_chp_industry,0.8
t0059,SE1_chp_industry,0.8
t0060,SE1_chp_industry,0.8
t0061,SE1_chp_industry,0.8
t0062,SE1_chp_industry,0.8
t0063,SE1_chp_industry,0.8
t0064,SE1_chp_industry,0.8
t0065,SE1_chp_industry,0.8
t0066,SE1_chp_industry,0.8
t0067,SE1_chp_industry,0.8
t0068,SE1_chp_industry,0.8
t0069,SE1_chp_industry,0.8
t0070,SE1_chp_industry,0.8
t0071,SE1_chp_industry,0.8
t0072,SE1_chp_industry,0.8
t0073,SE1_chp_industry,0.8
t0074,SE1_chp_industry,0.8
t0075,SE1_chp_industry,0.8
t0076,SE1_chp_industry,0.8
t0077,SE1_chp_industry,0.8
t0078,SE1_chp_industry,0.8
t0079,SE1_chp_industry,0.8
t0080,SE1_chp_industry,0.8
t0081,SE1_chp_industry,0.8
t0082,SE1_chp_industry,0.8
t0083,SE1_chp_industry,0.8
t0084,SE1_chp_industry,0.8
t0085,SE1_chp_industry,0.8
t0086,SE1_chp_industry,0.8
t0087,SE1_chp_industry,0.8
t0088,SE1_chp_industry,0.8
t0089,SE1_chp_industry,0.8
t0090,SE1_chp_industry,0.8
t0091,SE1_chp_industry,0.8
t0092,SE1_chp_industry,0.8
t0093,SE1_chp_industry,0.8
t0094,SE1_chp_industry,0.8
t0095,SE1_chp_industry,0.8
t0096,SE1_chp_industry,0.8
t0097,SE1_chp_industry,0.8
t0098,SE1_chp_industry,0.8
t0099,SE1_chp_industry,0.8
t0100,SE1_chp_industry,0.8
t0101,SE1_chp_industry,0.8
t0102,SE1_chp_industry,0.8
t0103,SE1_chp_industry,0.8
t0104,SE1_chp_industry,0.8
t0105,SE1_chp_industry,0.8
t0106,SE1_chp_industry,0.8
t0107,SE1_chp_industry,0.8
t0108,SE1_chp_industry,0.8
t0109,SE1_chp_industry,0.8
t0110,SE1_chp_industry,0.8
t0111,SE1_chp_industry,0.8
t0112,SE1_chp_industry,0.8
t0113,SE1_chp_industry,0.8
t0114,SE1_chp_industry,0.8
t0115,SE1_chp_industry,0.8
t0116,SE1_chp_industry,0.8
t0117,SE1_chp_industry,0.8
t0118,SE1_chp_industry,0.8
t0119,SE1_chp_industry,0.8
t0120,SE1_chp_industry,0.8
t0121,SE1_chp_industry,0.8
t0122,SE1_chp_industry,0.8
t0123,SE1_chp_industry,0.8
t0124,SE1_chp_industry,0.8
t0125,SE1_chp_industry,0.8
t0126,SE1_chp_industry,0.8
t0127,SE1_chp_industry,0.8
t0128,SE1_chp_industry,0.8
t0129,SE1_chp_industry,0.8
t0130,SE1_chp_industry,0.8
t0131,SE1_chp_industry,0.8
t0132,SE1_chp_industry,0.8
t0133,SE1_chp_industry,0.8
t0134,SE1_chp_industry,0.8
t0135,SE1_chp_industry,0.8
t0136,SE1_chp_industry,0.8
t0137,SE1_chp_industry,0.8
t0138,SE1_chp_industry,0.8
t0139,SE1_chp_industry,0.8
t0140,SE1_chp_industry,0.8
t0141,SE1_chp_industry,0.8
t0142,SE1_chp_industry,0.8
t0143,SE1_chp_industry,0.8
t0144,SE1_chp_industry,0.8
t0145,SE1_chp_industry,0.8
t0146,SE1_chp_industry,0.8
t0147,SE1_chp_industry,0.8
t0148,SE1_chp_industry,0.8
t0149,SE1_chp_industry,0.8
t0150,SE1_chp_industry,0.8
t0151,SE1_chp_industry,0.8
t0152,SE1_chp_industry,0.8
t0153,SE1_chp_industry,0.8
t0154,SE1_chp_industry,0.8
t0155,SE1_chp_industry,0.8
t0156,SE1_chp_industry,0.8
t0157,SE1_chp_industry,0.8
t0158,SE1_chp_industry,0.8
t0159,SE1_chp_industry,0.8
t0160,SE1_chp_industry,0.8
t0161,SE1_chp_industry,0.8
t0162,SE1_chp_industry,0.8
t0163,SE1_chp_industry,0.8
t0164,SE1_chp_industry,0.8
t0165,SE1_chp_industry,0.8
t0166,SE1_chp_industry,0.8
t0167,SE1_chp_industry,0.8
t0168,SE1_chp_industry,0.8
t0001,SE1_gasturbine,0.8
t0002,SE1_gasturbine,0.8
t0003,SE1_gasturbine,0.8
t0004,SE1_gasturbine,0.8
t0005,SE1_gasturbine,0.8
t0006,SE1_gasturbine,0.8
t0007,SE1_gasturbine,0.8
t0008,SE1_gasturbine,0.8
t0009,SE1_gasturbine,0.8
t0010,SE1_gasturbine,0.8
t0011,SE1_gasturbine,0.8
t0012,SE1_gasturbine,0.8
t0013,SE1_gasturbine,0.8
t0014,SE1_gasturbine,0.8
t0015,SE1_gasturbine,0.8
t0016,SE1_gasturbine,0.8
t0017,SE1_gasturbine,0.8
t0018,SE1_gasturbine,0.8
t0019,SE1_gasturbine,0.8
t0020,SE1_gasturbine,0.8
t0021,SE1_gasturbine,0.8
t0022,SE1_gasturbine,0.8
t0023,SE1_gasturbine,0.8
t0024,SE1_gasturbine,0.8
t0025,SE1_gasturbine,0.8
t0026,SE1_gasturbine,0.8
t0027,SE1_gasturbine,0.8
t0028,SE1_gasturbine,0.8
t0029,SE1_gasturbine,0.8
t0030,SE1_gasturbine,0.8
t0031,SE1_gasturbine,0.8
t0032,SE1_gasturbine,0.8
t0033,SE1_gasturbine,0.8
t0034,SE1_gasturbine,0.8
t0035,SE1_gasturbine,0.8
t0036,SE1_gasturbine,0.8
t0037,SE1_gasturbine,0.8
t0038,SE1_gasturbine,0.8
t0039,SE1_gasturbine,0.8
t0040,SE1_gasturbine,0.8
t0041,SE1_gasturbine,0.8
t0042,SE1_gasturbine,0.8
t0043,SE1_gasturbine,0.8
t0044,SE1_gasturbine,0.8
t0045,SE1_gasturbine,0.8
t0046,SE1_gasturbine,0.8
t0047,SE1_gasturbine,0.8
t0048,SE1_gasturbine,0.8
t0049,SE1_gasturbine,0.8
t0050,SE1_gasturbine,0.8
t0051,SE1_gasturbine,0.8
t0052,SE1_gasturbine,0.8
t0053,SE1_gasturbine,0.8
t0054,SE1_gasturbine,0.8
t0055,SE1_gasturbine,0.8
t0056,SE1_gasturbine,0.8
t0057,SE1_gasturbine,0.8
t0058,SE1_gasturbine,0.8
t0059,SE1_gasturbine,0.8
t0060,SE1_gasturbine,0.8
t0061,SE1_gasturbine,0.8
t0062,SE1_gasturbine,0.8
t0063,SE1_gasturbine,0.8
t0064,SE1_gasturbine,0.8
t0065,SE1_gasturbine,0.8
t0066,SE1_gasturbine,0.8
t0067,SE1_gasturbine,0.8
t0068,SE1_gasturbine,0.8
t0069,SE1_gasturbine,0.8
t0070,SE1_gasturbine,0.8
t0071,SE1_gasturbine,0.8
t0072,SE1_gasturbine,0.8
t0073,SE1_gasturbine,0.8
t0074,SE1_gasturbine,0.8
t0075,SE1_gasturbine,0.8
t0076,SE1_gasturbine,0.8
t0077,SE1_gasturbine,0.8
t0078,SE1_gasturbine,0.8
t0079,SE1_gasturbine,0.8
t0080,SE1_gasturbine,0.8
t0081,SE1_gasturbine,0.8
t0082,SE1_gasturbine,0.8
t0083,SE1_gasturbine,0.8
t0084,SE1_gasturbine,0.8
t0085,SE1_gasturbine,0.8
t0086,SE1_gasturbine,0.8
t0087,SE1_gasturbine,0.8
t0088,SE1_gasturbine,0.8
t0089,SE1_gasturbine,0.8
t0090,SE1_gasturbine,0.8
t0091,SE1_gasturbine,0.8
t0092,SE1_gasturbine,0.8
t0093,SE1_gasturbine,0.8
t0094,SE1_gasturbine,0.8
t0095,SE1_gasturbine,0.8
t0096,SE1_gasturbine,0.8
t0097,SE1_gasturbine,0.8
t0098,SE1_gasturbine,0.8
t0099,SE1_gasturbine,0.8
t0100,SE1_gasturbine,0.8
t0101,SE1_gasturbine,0.8
t0102,SE1_gasturbine,0.8
t0103,SE1_gasturbine,0.8
t0104,SE1_gasturbine,0.8
t0105,SE1_gasturbine,0.8
t0106,SE1_gasturbine,0.8
t0107,SE1_gasturbine,0.8
t0108,SE1_gasturbine,0.8
t0109,SE1_gasturbine,0.8
t0110,SE1_gasturbine,0.8
t0111,SE1_gasturbine,0.8
t0112,SE1_gasturbine,0.8
t0113,SE1_gasturbine,0.8
t0114,SE1_gasturbine,0.8
t0115,SE1_gasturbine,0.8
t0116,SE1_gasturbine,0.8
t0117,SE1_gasturbine,0.8
t0118,SE1_gasturbine,0.8
t0119,SE1_gasturbine,0.8
t0120,SE1_gasturbine,0.8
t0121,SE1_gasturbine,0.8
t0122,SE1_gasturbine,0.8
t0123,SE1_gasturbine,0.8
t0124,SE1_gasturbine,0.8
t0125,SE1_gasturbine,0.8
t0126,SE1_gasturbine,0.8
t0127,SE1_gasturbine,0.8
t0128,SE1_gasturbine,0.8
t0129,SE1_gasturbine,0.8
t0130,SE1_gasturbine,0.8
t0131,SE1_gasturbine,0.8
t0132,SE1_gasturbine,0.8
t0133,SE1_gasturbine,0.8
t0134,SE1_gasturbine,0.8
t0135,SE1_gasturbine,0.8
t0136,SE1_gasturbine,0.8
t0137,SE1_gasturbine,0.8
t0138,SE1_gasturbine,0.8
t0139,SE1_gasturbine,0.8
t0140,SE1_gasturbine,0.8
t0141,SE1_gasturbine,0.8
t0142,SE1_gasturbine,0.8
t0143,SE1_gasturbine,0.8
